1;f_DATOS_ENTRADA_TARIFA__B30;DATOS_ENTRADA_TARIFA__B30;28.44;None;None;None;DATOS ENTRADA TARIFA!B3028.44
mx_h;f_SIMULADOR_COCHE_ELECTRICO__I5;SIMULADOR_COCHE_ELECTRICO__I5;0;None;None;None;SIMULADOR COCHE ELECTRICO!I50
1;f_SIMULADOR_COCHE_ELECTRICO__L20;SIMULADOR_COCHE_ELECTRICO__L20;28000;None;None;None;SIMULADOR COCHE ELECTRICO!L2028000
1;f_SIMULADOR_COCHE_ELECTRICO__L18;SIMULADOR_COCHE_ELECTRICO__L18;18;None;None;None;SIMULADOR COCHE ELECTRICO!L1818
mx_mdh;f_PERFIL_CONSUMO_REE__M11;PERFIL_CONSUMO_REE__M11;0.000120013774900633;None;None;None;PERFIL CONSUMO REE!M110.000120013774900633
1;f_ENTRADA_CONSUMO_APROXIMADA__M1;ENTRADA_CONSUMO_APROXIMADA__M1;2500;None;None;None;ENTRADA CONSUMO APROXIMADA!M12500
mx_mdh;f_PERFIL_CONSUMO_REE__M13;PERFIL_CONSUMO_REE__M13;0.00014893284182569455;None;None;None;PERFIL CONSUMO REE!M130.00014893284182569455
mx_3_746;f_PVPC__E3;PVPC__E3;292.96;None;None;None;PVPC!E3292.96
1;f_DATOS_ENTRADA_TARIFA__B20;DATOS_ENTRADA_TARIFA__B20;0.104228;None;None;None;DATOS ENTRADA TARIFA!B200.104228
1;f_3;DATOS_ENTRADA_TARIFA__B19;=0.112449;{};[];{};DATOS ENTRADA TARIFA!B19=0.112449
1;f_PERFIL_CONSUMO_REE__M3;PERFIL_CONSUMO_REE__M3;0.00016959173339443142;None;None;None;PERFIL CONSUMO REE!M30.00016959173339443142
1;f_DATOS_ENTRADA_PANELES__B3;DATOS_ENTRADA_PANELES__B3;1134;None;None;None;DATOS ENTRADA PANELES!B31134
1;f_DATOS_ENTRADA_PANELES__B2;DATOS_ENTRADA_PANELES__B2;2094;None;None;None;DATOS ENTRADA PANELES!B22094
1;f_DATOS_ENTRADA_PANELES__D1;DATOS_ENTRADA_PANELES__D1;540;None;None;None;DATOS ENTRADA PANELES!D1540
1;f_DATOS_ENTRADA_PANELES__B4;DATOS_ENTRADA_PANELES__B4;460;None;None;None;DATOS ENTRADA PANELES!B4460
mx_m;f_DATOS_ENTRADA_PANELES__B8;DATOS_ENTRADA_PANELES__B8;0.76;None;None;None;DATOS ENTRADA PANELES!B80.76
1;f_LISTADO_DE_COMERCIALIZADORAS__M65;LISTADO_DE_COMERCIALIZADORAS__M65;0;None;None;None;LISTADO DE COMERCIALIZADORAS!M650
mx_h;f_ENTRADA_CONSUMO_APROXIMADA__V13;ENTRADA_CONSUMO_APROXIMADA__V13;1.2;None;None;None;ENTRADA CONSUMO APROXIMADA!V131.2
mx_h;f_ENTRADA_CONSUMO_APROXIMADA__U13;ENTRADA_CONSUMO_APROXIMADA__U13;0.8;None;None;None;ENTRADA CONSUMO APROXIMADA!U130.8
