1;LISTADO DE COMERCIALIZADORAS!C7;=DATOS ENTRADA TARIFA!C29
1;LISTADO DE COMERCIALIZADORAS!C6;=DATOS ENTRADA TARIFA!C30
1;SIMULADOR COCHE ELECTRICO!B3;=N19/(365*6)*1000
1;DATOS ENTRADA TARIFA!C21;=C19-C20
m;DATOS ENTRADA PANELES!D8;=C8/($B$2*$B$3)*1000000/1000
1;DATOS ENTRADA PANELES!B1;=8+C1/B4*D1
m;ENTRADA CONSUMO APROXIMADA!N5;=IF($M$2=3,M5,IF($M$2=2,M5*O5,IF($M$2=1,M5*P5,"")))
1;PVPC Calculos!CI32;=DATOS ENTRADA TARIFA!I12
1;LISTADO DE COMERCIALIZADORAS!F2;=E2
1;LISTADO DE COMERCIALIZADORAS!F3;=E3
m;CALCULOS!CY4;=(RESULTADO GENERACIONvsCONSUMO!A3*LISTADO DE COMERCIALIZADORAS!$E$2*LISTADO DE COMERCIALIZADORAS!$E$4*$DG$2+RESULTADO GENERACIONvsCONSUMO!A3*LISTADO DE COMERCIALIZADORAS!$E$3*LISTADO DE COMERCIALIZADORAS!$E$5*$DG$2+LISTADO DE COMERCIALIZADORAS!$E$12*RESULTADO GENERACIONvsCONSUMO!A3)*$DG$1
*m;PVPC Calculos!BM3;=SUMIF($A$4:$A$8763,$AY3,AC$4:AC$8763)*DATOS ENTRADA TARIFA!$B$13;*
*m;PVPC Calculos!BZ3;=SUMIF($A$4:$A$8763,$AY3,AO$4:AO$8763)*DATOS ENTRADA TARIFA!$B$13;*
*m;PVPC Calculos!BL3;=SUMIF($A$4:$A$8763,$AY3,AB$4:AB$8763)*DATOS ENTRADA TARIFA!$B$13;*
*m;PVPC Calculos!BY3;=SUMIF($A$4:$A$8763,$AY3,AN$4:AN$8763)*DATOS ENTRADA TARIFA!$B$13;*
*** tirar del hilo-mdh;VALOR CONSUMO PARA CALCULOS!G12;=+IF(SIMULADOR COCHE ELECTRICO!$B$2=1,SIMULADOR COCHE ELECTRICO!$B$3*H12*I12*J12,0)
*** tirar del hilo-mdh;VALOR CONSUMO PARA CALCULOS!G14;=+IF(SIMULADOR COCHE ELECTRICO!$B$2=1,SIMULADOR COCHE ELECTRICO!$B$3*H14*I14*J14,0)
*** tirar del hilo-mdh;VALOR CONSUMO PARA CALCULOS!G4;=+IF(SIMULADOR COCHE ELECTRICO!$B$2=1,SIMULADOR COCHE ELECTRICO!$B$3*H4*I4*J4,0)
1;DATOS ENTRADA TARIFA!B21;=C21/365
m;DATOS ENTRADA PANELES!E8;=$B$1*$E$2*D8
m;ENTRADA CONSUMO APROXIMADA!X1;=N5/K5
=1;LISTADO DE COMERCIALIZADORAS!G2;=F2
=1;LISTADO DE COMERCIALIZADORAS!G3;=F3
1;CALCULOS!CY16;=SUM(CY4:CY15);*
m;CALCULOS!CZ4;=((RESULTADO GENERACIONvsCONSUMO!A3*LISTADO DE COMERCIALIZADORAS!$C$2*LISTADO DE COMERCIALIZADORAS!$C$6+RESULTADO GENERACIONvsCONSUMO!A3*LISTADO DE COMERCIALIZADORAS!$C$2*DATOS ENTRADA TARIFA!$B$21+RESULTADO GENERACIONvsCONSUMO!A3*LISTADO DE COMERCIALIZADORAS!$C$3*LISTADO DE COMERCIALIZADORAS!$C$7)*$DG$2+RESULTADO GENERACIONvsCONSUMO!A3*LISTADO DE COMERCIALIZADORAS!$C$12)*$DG$1*IF(DATOS ENTRADA TARIFA!$C$13=1,DATOS ENTRADA TARIFA!$B$13,100%)
mh;DATOS ENTRADA PANELES!H3;=ENTRADA RADIACIÓN!B2*DATOS ENTRADA PANELES!$E$8
hilo;m;ENTRADA CONSUMO APROXIMADA!X13;=X$1*$T13*1000
